"","Ctrl1_CLIP.merged_uniq.bam_log10_p1","Ctrl2_CLIP.merged_uniq.bam_log10_p1","CPEB4_CLIP_r1_CLIP_4SU_DMSO.merged_uniq.bam_log10_p1","RMD1_CLIP.merged_uniq.bam_log10_p1","RMD2_CLIP.merged_uniq.bam_log10_p1","CPEB4_CLIP_r1_CLIP_4SU_RMD.merged_uniq.bam_log10_p1"
"EPAS1",1.23044892137827,1.46239799789896,0.301029995663981,1.56820172406699,1.20411998265592,0.602059991327962
"EPB41",1.20411998265592,1.44715803134222,0,0.845098040014257,0.477121254719662,0
"EPB41L1",0,0,0,0,0,0.698970004336019
"EPB41L2",0.778151250383644,0.698970004336019,0,0,0,0
"EPB41L3",0,0,0,0.301029995663981,0.301029995663981,0
"EPB41L4A",1.56820172406699,1.68124123737559,1.60205999132796,0.477121254719662,0.301029995663981,0.954242509439325
"EPB41L5",0.301029995663981,0.602059991327962,0,0,0,0
"EPC1",1.60205999132796,1.77815125038364,1.27875360095283,1.11394335230684,1.04139268515822,1
"EPC2",1,1.14612803567824,0.301029995663981,0.602059991327962,0.301029995663981,0.602059991327962
"EPDR1",0.602059991327962,0.845098040014257,0,0,0,0
"EPG5",0,0.602059991327962,0.301029995663981,0,0,0
"EPGN",0,0.602059991327962,0.301029995663981,0,0,0
"EPHA1",0,0,0,0.602059991327962,0.301029995663981,0.301029995663981
"EPHA2",2.10380372095596,2.28103336724773,1.47712125471966,1.69019608002851,1.34242268082221,1.30102999566398
"EPHA3",1.75587485567249,2.15533603746506,1.14612803567824,1.20411998265592,1.17609125905568,1.36172783601759
"EPHA5",1.76342799356294,2.02118929906994,0,1.23044892137827,1.20411998265592,0.477121254719662
"EPHA6",0.477121254719662,0.477121254719662,0.954242509439325,0,0.301029995663981,1.17609125905568
"EPHA7",0,0.698970004336019,0,0.845098040014257,0.477121254719662,0
"EPHB1",0.301029995663981,0.602059991327962,0,0,0,0
"EPHB2",0,0,0,0,0,0.602059991327962
"EPHB4",2.89042101880091,3.12872228433843,1.25527250510331,2.50514997831991,2.16435285578444,1.07918124604762
"EPHX1",0.602059991327962,0.954242509439325,0,0.698970004336019,0.477121254719662,0.477121254719662
"EPM2A",0.477121254719662,0.477121254719662,0,0.778151250383644,0.602059991327962,0.477121254719662
"EPM2AIP1",1.23044892137827,1.49136169383427,0.301029995663981,1.32221929473392,1.07918124604762,0.301029995663981
"EPOR",1.44715803134222,1.51851393987789,0.602059991327962,1.14612803567824,1,0.698970004336019
"EPS15",0.954242509439325,0.778151250383644,0.301029995663981,0.301029995663981,0.301029995663981,0
"EPS8",0.698970004336019,1.14612803567824,0.301029995663981,0.602059991327962,0.477121254719662,0.477121254719662
"EPT1",0.954242509439325,1.30102999566398,0,1.17609125905568,0.477121254719662,0
"EPYC",0.903089986991944,0.698970004336019,0,0.477121254719662,0,0
"EQTN",0.301029995663981,0.778151250383644,0,0,0,0
"ERAP1",0.602059991327962,0.602059991327962,0.301029995663981,0,0,0
"ERAP2",0.778151250383644,0.778151250383644,0.301029995663981,0,0,0
"ERBB2IP",1.67209785793572,1.91907809237607,0.903089986991944,1.47712125471966,1.27875360095283,1.17609125905568
"ERBB3",0,0,0.301029995663981,0,0,0
"ERBB4",0.903089986991944,0.845098040014257,0,0.698970004336019,0.301029995663981,0
"ERC1",1.14612803567824,1.17609125905568,0.301029995663981,0.778151250383644,0.903089986991944,1.20411998265592
