X,IEG,variable,value,condition,siCPEB4,mygroup
PLEKHA6,non-IEG,mean_siCPEB4_RMD,3.45906468448469,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PPP1R15B,non-IEG,mean_siCPEB4_RMD,3.76900819265626,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PIK3C2B,non-IEG,mean_siCPEB4_RMD,3.17681184381973,RMD,siCPEB4,RMD_non-IEG_siCPEB4
MDM4,non-IEG,mean_siCPEB4_RMD,4.033251082556015,RMD,siCPEB4,RMD_non-IEG_siCPEB4
LRRN2,non-IEG,mean_siCPEB4_RMD,3.704107189561295,RMD,siCPEB4,RMD_non-IEG_siCPEB4
TMEM81,non-IEG,mean_siCPEB4_RMD,3.4856310998923847,RMD,siCPEB4,RMD_non-IEG_siCPEB4
RBBP5,non-IEG,mean_siCPEB4_RMD,3.6383829337616946,RMD,siCPEB4,RMD_non-IEG_siCPEB4
DSTYK,non-IEG,mean_siCPEB4_RMD,3.1385835721912096,RMD,siCPEB4,RMD_non-IEG_siCPEB4
NUAK2,IEG,mean_siCPEB4_RMD,2.531437228368345,RMD,siCPEB4,RMD_IEG_siCPEB4
BLACAT1,non-IEG,mean_siCPEB4_RMD,4.32652461319719,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SLC45A3,non-IEG,mean_siCPEB4_RMD,3.57862517356493,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SRGAP2,non-IEG,mean_siCPEB4_RMD,3.35191159128278,RMD,siCPEB4,RMD_non-IEG_siCPEB4
IKBKE,IEG,mean_siCPEB4_RMD,4.14935500038718,RMD,siCPEB4,RMD_IEG_siCPEB4
RASSF5,non-IEG,mean_siCPEB4_RMD,3.5398724568356,RMD,siCPEB4,RMD_non-IEG_siCPEB4
DYRK3,non-IEG,mean_siCPEB4_RMD,3.0587719772753648,RMD,siCPEB4,RMD_non-IEG_siCPEB4
MAPKAPK2,non-IEG,mean_siCPEB4_RMD,3.24498609667748,RMD,siCPEB4,RMD_non-IEG_siCPEB4
YOD1,non-IEG,mean_siCPEB4_RMD,3.37415599558947,RMD,siCPEB4,RMD_non-IEG_siCPEB4
C1orf74,non-IEG,mean_siCPEB4_RMD,2.8538215592895453,RMD,siCPEB4,RMD_non-IEG_siCPEB4
DIEXF,non-IEG,mean_siCPEB4_RMD,3.375136348866865,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SERTAD4,non-IEG,mean_siCPEB4_RMD,3.5868717243388453,RMD,siCPEB4,RMD_non-IEG_siCPEB4
TRAF5,non-IEG,mean_siCPEB4_RMD,4.94130146630901,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SLC30A1,non-IEG,mean_siCPEB4_RMD,3.8541065585268646,RMD,siCPEB4,RMD_non-IEG_siCPEB4
DTL,non-IEG,mean_siCPEB4_RMD,3.663924127065715,RMD,siCPEB4,RMD_non-IEG_siCPEB4
FLVCR1,non-IEG,mean_siCPEB4_RMD,3.998213595070255,RMD,siCPEB4,RMD_non-IEG_siCPEB4
GPATCH2,non-IEG,mean_siCPEB4_RMD,4.244937936716615,RMD,siCPEB4,RMD_non-IEG_siCPEB4
DUSP10,non-IEG,mean_siCPEB4_RMD,3.5124642225502196,RMD,siCPEB4,RMD_non-IEG_siCPEB4
TAF1A,non-IEG,mean_siCPEB4_RMD,3.839743134485785,RMD,siCPEB4,RMD_non-IEG_siCPEB4
DISP1,non-IEG,mean_siCPEB4_RMD,2.42273338417566,RMD,siCPEB4,RMD_non-IEG_siCPEB4
TP53BP2,non-IEG,mean_siCPEB4_RMD,3.34409140120194,RMD,siCPEB4,RMD_non-IEG_siCPEB4
WDR26,non-IEG,mean_siCPEB4_RMD,4.38872993202874,RMD,siCPEB4,RMD_non-IEG_siCPEB4
TMEM63A,non-IEG,mean_siCPEB4_RMD,4.41544494236585,RMD,siCPEB4,RMD_non-IEG_siCPEB4
